ISIN,US105756CA66,,
Coupon,4.5,,
Maturity,10 years,,
Start,2019,End,2029
,,,
time,date,close,
1652857200,18/05/2022,93.045998,
1652943600,19/05/2022,93.276001,
1653030000,20/05/2022,93.583,
1653289200,23/05/2022,93.674004,
1653375600,24/05/2022,93.619003,
1653462000,25/05/2022,94.012001,
1653548400,26/05/2022,94.719002,
1653634800,27/05/2022,95.008003,
1653894000,30/05/2022,95.450996,
1653980400,31/05/2022,95.331001,
1654066800,01/06/2022,94.896004,
1654153200,02/06/2022,94.586998,
1654239600,03/06/2022,94.391998,
1654498800,06/06/2022,94.095001,
1654585200,07/06/2022,93.600998,
1654671600,08/06/2022,93.726997,
1654758000,09/06/2022,93.471001,
1654844400,10/06/2022,92.991997,
1655103600,13/06/2022,90.704002,
1655190000,14/06/2022,90.266998,
1655276400,15/06/2022,90.121002,
1655362800,16/06/2022,89.774002,
1655449200,17/06/2022,90.425003,
1655708400,20/06/2022,90.269997,
1655794800,21/06/2022,90.054001,
1655881200,22/06/2022,90.181999,
1655967600,23/06/2022,90.549004,
1656054000,24/06/2022,90.697998,
1656313200,27/06/2022,90.675003,
1656399600,28/06/2022,90.327003,
1656486000,29/06/2022,89.802002,
1656572400,30/06/2022,89.847,
1656658800,01/07/2022,90.161003,
1656918000,04/07/2022,90.694,
1657004400,05/07/2022,90.655998,
1657090800,06/07/2022,90.714996,
1657177200,07/07/2022,90.681,
1657263600,08/07/2022,90.730003,
1657522800,11/07/2022,90.462997,
1657609200,12/07/2022,90.260002,
1657695600,13/07/2022,89.454002,
1657782000,14/07/2022,89.694,
1657868400,15/07/2022,89.319,
1658127600,18/07/2022,89.545998,
1658214000,19/07/2022,89.82,
1658300400,20/07/2022,90.778,
1658386800,21/07/2022,91.626999,
1658473200,22/07/2022,92.196999,
1658732400,25/07/2022,92.827003,
1658818800,26/07/2022,93.002998,
1658905200,27/07/2022,92.722,
1658991600,28/07/2022,93.181999,
1659078000,29/07/2022,94.512001,
1659337200,01/08/2022,94.966003,
1659423600,02/08/2022,95.002998,
1659510000,03/08/2022,94.066002,
1659596400,04/08/2022,94.780998,
1659682800,05/08/2022,94.556999,
1659942000,08/08/2022,94.580002,
1660028400,09/08/2022,94.776001,
1660114800,10/08/2022,93.932999,
1660201200,11/08/2022,95.015999,
1660287600,12/08/2022,94.963997,
1660546800,15/08/2022,94.998001,
1660633200,16/08/2022,95.094002,
1660719600,17/08/2022,94.042999,
1660806000,18/08/2022,94.25,
1660892400,19/08/2022,93.837997,
1661151600,22/08/2022,93.182999,
1661238000,23/08/2022,93.005997,
1661324400,24/08/2022,93.308998,
1661410800,25/08/2022,93.439003,
1661497200,26/08/2022,93.667999,
1661756400,29/08/2022,92.875999,
1661842800,30/08/2022,93.098999,
1661929200,31/08/2022,93.144997,
1662015600,01/09/2022,92.970001,
1662102000,02/09/2022,93.066002,
1662361200,05/09/2022,93.363998,
1662447600,06/09/2022,93.310997,
1662534000,07/09/2022,93.071999,
1662620400,08/09/2022,93.869003,
1662706800,09/09/2022,94.155998,
1662966000,12/09/2022,94.313004,
1663052400,13/09/2022,94.301003,
1663138800,14/09/2022,93.595001,
1663225200,15/09/2022,93.448997,
1663311600,16/09/2022,93.184998,
1663570800,19/09/2022,92.957001,
1663657200,20/09/2022,92.790001,
1663743600,21/09/2022,92.525002,
1663830000,22/09/2022,92.278,
1663916400,23/09/2022,91.066002,
1664175600,26/09/2022,89.946999,
1664262000,27/09/2022,89.221001,
1664348400,28/09/2022,87.596001,
1664434800,29/09/2022,88.773003,
1664521200,30/09/2022,88.960999,
1664780400,03/10/2022,90.026001,
1664866800,04/10/2022,90.567001,
1664953200,05/10/2022,91.225998,
1665039600,06/10/2022,90.464996,
1665126000,07/10/2022,89.792999,
1665385200,10/10/2022,89.598,
1665471600,11/10/2022,89.181999,
1665558000,12/10/2022,89.015999,
1665644400,13/10/2022,88.588997,
1665730800,14/10/2022,88.584,
1665990000,17/10/2022,88.596001,
1666076400,18/10/2022,88.984001,
1666162800,19/10/2022,88.616997,
1666249200,20/10/2022,88.477997,
1666335600,21/10/2022,88.300003,
1666594800,24/10/2022,89.550003,
1666681200,25/10/2022,89.75,
1666767600,26/10/2022,90.057999,
1666854000,27/10/2022,89.819,
1666940400,28/10/2022,89.903,
1667203200,31/10/2022,90.017998,
1667289600,01/11/2022,90.500999,
1667376000,02/11/2022,90.651001,
1667462400,03/11/2022,89.836998,
1667548800,04/11/2022,90.087997,
1667808000,07/11/2022,90.458,
1667894400,08/11/2022,90.255997,
1667980800,09/11/2022,89.928001,
1668067200,10/11/2022,89.463997,
1668153600,11/11/2022,90.613998,
1668412800,14/11/2022,90.533997,
1668499200,15/11/2022,91.514999,
1668585600,16/11/2022,91.862,
1668672000,17/11/2022,91.153999,
1668758400,18/11/2022,91.621002,
1669017600,21/11/2022,91.337997,
1669104000,22/11/2022,91.621002,
1669190400,23/11/2022,92.046997,
1669276800,24/11/2022,92.182999,
1669363200,25/11/2022,92.167999,
1669622400,28/11/2022,92.204002,
1669708800,29/11/2022,92.470001,
1669795200,30/11/2022,93.011002,
1669881600,01/12/2022,93.68,
1669968000,02/12/2022,93.960999,
1670227200,05/12/2022,94.379997,
1670313600,06/12/2022,94.220001,
1670400000,07/12/2022,93.713997,
1670486400,08/12/2022,94.43,
1670572800,09/12/2022,94.530998,
1670832000,12/12/2022,94.402,
1670918400,13/12/2022,93.984001,
1671004800,14/12/2022,94.464996,
1671091200,15/12/2022,94.349998,
1671177600,16/12/2022,93.723,
1671436800,19/12/2022,93.542999,
1671523200,20/12/2022,92.949997,
1671609600,21/12/2022,93.119003,
1671696000,22/12/2022,93.370003,
1671782400,23/12/2022,93.296997,
1672128000,27/12/2022,93.211998,
1672214400,28/12/2022,93.113998,
1672300800,29/12/2022,93.013,
1672387200,30/12/2022,93.037003,
1672646400,02/01/2023,92.969002,
1672732800,03/01/2023,93.247002,
1672819200,04/01/2023,93.626999,
1672905600,05/01/2023,93.608002,
1672992000,06/01/2023,93.418999,
1673337600,10/01/2023,94.392998,
1673424000,11/01/2023,94.308998,
1673510400,12/01/2023,94.804001,
1673596800,13/01/2023,95.265999,
1673856000,16/01/2023,95.174004,
1673942400,17/01/2023,94.934998,
1674028800,18/01/2023,95.528,
1674115200,19/01/2023,95.797997,
1674201600,20/01/2023,95.509003,
1674460800,23/01/2023,95.366997,
1674547200,24/01/2023,95.288002,
1674633600,25/01/2023,95.297997,
1674720000,26/01/2023,95.157997,
1674806400,27/01/2023,94.999001,
1675065600,30/01/2023,94.873001,
1675152000,31/01/2023,94.796997,
1675238400,01/02/2023,95.195,
1675324800,02/02/2023,96.112,
1675411200,03/02/2023,96.193001,
1675670400,06/02/2023,95.220001,
1675756800,07/02/2023,94.835999,
1675843200,08/02/2023,94.681999,
1675929600,09/02/2023,94.578003,
1676016000,10/02/2023,93.549004,
1676275200,13/02/2023,93.420998,
1676361600,14/02/2023,93.598,
1676448000,15/02/2023,93.364998,
1676534400,16/02/2023,93.18,
1676620800,17/02/2023,92.500999,
1676880000,20/02/2023,92.637001,
1676966400,21/02/2023,92.142998,
1677052800,22/02/2023,92.093002,
1677139200,23/02/2023,92.211998,
1677225600,24/02/2023,92.445999,
1677484800,27/02/2023,92.418999,
1677571200,28/02/2023,92.264999,
1677657600,01/03/2023,92.279999,
1677744000,02/03/2023,91.864998,
1677830400,03/03/2023,91.850998,
1678089600,06/03/2023,92.200996,
1678176000,07/03/2023,92.086998,
1678262400,08/03/2023,91.530998,
1678348800,09/03/2023,91.596001,
1678435200,10/03/2023,91.827003,
1678694400,13/03/2023,92.959999,
1678780800,14/03/2023,93.040001,
1678867200,15/03/2023,93.074997,
1678953600,16/03/2023,93.577003,
1679040000,17/03/2023,93.459,
1679299200,20/03/2023,93.640999,
1679385600,21/03/2023,93.686996,
1679472000,22/03/2023,93.676003,
1679558400,23/03/2023,94.216003,
1679644800,24/03/2023,94.565002,
1679900400,27/03/2023,94.387001,
1679986800,28/03/2023,94.200996,
1680073200,29/03/2023,94.266998,
1680159600,30/03/2023,94.559998,
1680246000,31/03/2023,94.670998,
1680505200,03/04/2023,95.021004,
1680591600,04/04/2023,95.292999,
1680678000,05/04/2023,95.584999,
1680764400,06/04/2023,95.735001,
1681196400,11/04/2023,95.233002,
1681282800,12/04/2023,95.325996,
1681369200,13/04/2023,95.259003,
1681455600,14/04/2023,95.378998,
1681714800,17/04/2023,95.147003,
1681801200,18/04/2023,94.946999,
1681887600,19/04/2023,94.893997,
1681974000,20/04/2023,94.827003,
1682060400,21/04/2023,94.898003,
1682319600,24/04/2023,94.806,
1682406000,25/04/2023,94.981003,
1682492400,26/04/2023,95.009003,
1682578800,27/04/2023,94.976997,
1682665200,28/04/2023,94.903999,
1683010800,02/05/2023,94.903,
1683097200,03/05/2023,95.238998,
1683183600,04/05/2023,95.348,
1683270000,05/05/2023,95.242996,
1683529200,08/05/2023,95.087997,
1683615600,09/05/2023,95.181,
1683702000,10/05/2023,95.355003,
1683788400,11/05/2023,95.644997,
1683874800,12/05/2023,95.75,
1684134000,15/05/2023,95.519997,
1684220400,16/05/2023,95.508003,
1684306800,17/05/2023,95.472,
1684393200,18/05/2023,95.474998,
1684479600,19/05/2023,95.359001,
1684738800,22/05/2023,95.378998,
1684825200,23/05/2023,95.282997,
1684911600,24/05/2023,95.271004,
1684998000,25/05/2023,95.058998,
1685084400,26/05/2023,94.936996,
1685343600,29/05/2023,94.948997,
1685430000,30/05/2023,95.170998,
1685516400,31/05/2023,95.271004,
1685602800,01/06/2023,95.153,
1685689200,02/06/2023,95.227997,
1685948400,05/06/2023,95.036003,
1686034800,06/06/2023,95.208,
1686121200,07/06/2023,95.294998,
1686207600,08/06/2023,95.065002,
1686294000,09/06/2023,95.165001,
1686553200,12/06/2023,95.230003,
1686639600,13/06/2023,95.390999,
1686726000,14/06/2023,95.18,
1686812400,15/06/2023,95.129997,
1686898800,16/06/2023,95.318001,
1687158000,19/06/2023,95.218002,
1687244400,20/06/2023,95.176003,
1687330800,21/06/2023,95.230003,
1687417200,22/06/2023,95.163002,
1687503600,23/06/2023,95.060997,
1687762800,26/06/2023,95.139,
1687849200,27/06/2023,95.139999,
1687935600,28/06/2023,95.092003,
1688022000,29/06/2023,95.021004,
1688108400,30/06/2023,94.592003,
1688367600,03/07/2023,94.650002,
1688454000,04/07/2023,94.691002,
1688540400,05/07/2023,94.711998,
1688626800,06/07/2023,94.318001,
1688713200,07/07/2023,93.93,
1688972400,10/07/2023,93.879997,
1689058800,11/07/2023,94.022003,
1689145200,12/07/2023,94.167,
1689231600,13/07/2023,94.931999,
1689318000,14/07/2023,95.362,
1689577200,17/07/2023,95.214996,
1689663600,18/07/2023,95.350998,
1689750000,19/07/2023,95.513,
1689836400,20/07/2023,95.378998,
1689922800,21/07/2023,95.188004,
1690182000,24/07/2023,95.297997,
1690268400,25/07/2023,95.110001,
1690354800,26/07/2023,95.308998,
1690441200,27/07/2023,95.529999,
1690527600,28/07/2023,95.239998,
1690786800,31/07/2023,95.336998,
1690873200,01/08/2023,95.269997,
1690959600,02/08/2023,95.044998,
1691046000,03/08/2023,94.571999,
1691132400,04/08/2023,94.244003,
1691391600,07/08/2023,94.491997,
1691478000,08/08/2023,94.571999,
1691564400,09/08/2023,94.585999,
1691650800,10/08/2023,94.712997,
1691737200,11/08/2023,94.725998,
1691996400,14/08/2023,94.598,
1692082800,15/08/2023,94.157997,
1692169200,16/08/2023,93.959999,
1692255600,17/08/2023,93.605003,
1692342000,18/08/2023,93.617996,
1692601200,21/08/2023,93.551003,
1692687600,22/08/2023,93.457001,
1692774000,23/08/2023,93.627998,
1692860400,24/08/2023,93.947998,
1692946800,25/08/2023,93.957001,
1693206000,28/08/2023,93.946999,
1693292400,29/08/2023,94.061996,
1693378800,30/08/2023,94.515999,
1693465200,31/08/2023,94.763,
1693551600,01/09/2023,94.732002,
1693810800,04/09/2023,94.575996,
1693897200,05/09/2023,94.442001,
1693983600,06/09/2023,94.189003,
1694070000,07/09/2023,93.959999,
1694156400,08/09/2023,94.147003,
1694415600,11/09/2023,94.236,
1694502000,12/09/2023,94.198997,
1694588400,13/09/2023,94.125999,
1694674800,14/09/2023,94.422997,
1694761200,15/09/2023,94.325996,
1695020400,18/09/2023,94.149002,
1695106800,19/09/2023,94.094002,
1695193200,20/09/2023,94.000999,
1695279600,21/09/2023,93.818001,
1695366000,22/09/2023,93.513,
1695625200,25/09/2023,93.554001,
1695711600,26/09/2023,93.517998,
1695798000,27/09/2023,93.458,
1695884400,28/09/2023,93.166,
1695970800,29/09/2023,93.545998,
1696230000,02/10/2023,93.306,
1696316400,03/10/2023,92.850998,
1696402800,04/10/2023,92.268997,
1696489200,05/10/2023,92.522003,
1696575600,06/10/2023,92.477997,
1696834800,09/10/2023,92.264,
1696921200,10/10/2023,92.550003,
1697007600,11/10/2023,93.323997,
1697094000,12/10/2023,93.485001,
1697180400,13/10/2023,93.100998,
1697439600,16/10/2023,93.011002,
1697526000,17/10/2023,92.800003,
1697612400,18/10/2023,92.472,
1697698800,19/10/2023,92.035004,
1697785200,20/10/2023,92.017998,
1698044400,23/10/2023,91.859001,
1698130800,24/10/2023,92.404999,
1698217200,25/10/2023,92.543999,
1698303600,26/10/2023,92.251999,
1698390000,27/10/2023,92.347,
1698652800,30/10/2023,92.339996,
1698739200,31/10/2023,92.384003,
1698825600,01/11/2023,92.389999,
1698912000,02/11/2023,93.132004,
1698998400,03/11/2023,93.824997,
1699257600,06/11/2023,93.921997,
1699344000,07/11/2023,93.511002,
1699430400,08/11/2023,93.461998,
1699516800,09/11/2023,93.378998,
1699603200,10/11/2023,93.154999,
1699862400,13/11/2023,93.162003,
1699948800,14/11/2023,92.877998,
1700035200,15/11/2023,93.663002,
1700121600,16/11/2023,93.611,
1700208000,17/11/2023,93.816002,
1700467200,20/11/2023,93.737999,
1700553600,21/11/2023,94.043999,
1700640000,22/11/2023,94.183998,
1700726400,23/11/2023,94.279999,
1700812800,24/11/2023,94.154999,
1701072000,27/11/2023,94.166,
1701158400,28/11/2023,94.404999,
1701244800,29/11/2023,94.983002,
1701331200,30/11/2023,95.183998,
1701417600,01/12/2023,94.960999,
1701676800,04/12/2023,95.230003,
1701763200,05/12/2023,95.182999,
1701849600,06/12/2023,95.503998,
1701936000,07/12/2023,95.537003,
1702022400,08/12/2023,95.485001,
1702281600,11/12/2023,95.014,
1702368000,12/12/2023,95.166,
1702454400,13/12/2023,95.164001,
1702540800,14/12/2023,96.469002,
1702627200,15/12/2023,96.852997,
1702886400,18/12/2023,96.747002,
1702972800,19/12/2023,96.639,
1703059200,20/12/2023,96.648003,
1703145600,21/12/2023,96.698997,
1703232000,22/12/2023,96.691002,
1703664000,27/12/2023,96.616997,
1703750400,28/12/2023,96.704002,
1703836800,29/12/2023,96.487,
1704182400,02/01/2024,96.300003,
1704268800,03/01/2024,95.728996,
1704355200,04/01/2024,95.505997,
1704441600,05/01/2024,95.305,
1704700800,08/01/2024,95.417999,
1704787200,09/01/2024,95.475998,
1704873600,10/01/2024,95.771004,
1704960000,11/01/2024,96.110001,
1705046400,12/01/2024,96.606003,
1705305600,15/01/2024,96.776001,
1705392000,16/01/2024,96.612,
1705478400,17/01/2024,96.412003,
1705564800,18/01/2024,96.411003,
1705651200,19/01/2024,96.262001,
1705910400,22/01/2024,96.028,
1705996800,23/01/2024,95.529999,
1706083200,24/01/2024,95.351997,
1706169600,25/01/2024,95.195,
1706256000,26/01/2024,95.287003,
1706515200,29/01/2024,95.43,
1706601600,30/01/2024,95.656998,
1706688000,31/01/2024,95.651001,
1706774400,01/02/2024,95.822998,
1706860800,02/02/2024,96.322998,
1707120000,05/02/2024,95.801003,
1707206400,06/02/2024,95.625999,
1707292800,07/02/2024,96.179001,
1707379200,08/02/2024,96.125999,
1707465600,09/02/2024,95.966003,
1707724800,12/02/2024,95.973999,
1707811200,13/02/2024,95.57,
1707897600,14/02/2024,95.362999,
1707984000,15/02/2024,95.5,
1708070400,16/02/2024,95.459,
1708329600,19/02/2024,95.358002,
1708416000,20/02/2024,95.348999,
1708502400,21/02/2024,95.195,
1708588800,22/02/2024,95.037003,
1708934400,26/02/2024,95.157997,
1709020800,27/02/2024,94.956001,
1709107200,28/02/2024,94.814,
