ISIN,US105756CA66,,
Coupon,4.5,,
Maturity,10 years,,
Start,2019,End,2029
,,,
time,date,close,
1576224000,13/12/2019,106.198,
1576483200,16/12/2019,106.379,
1576569600,17/12/2019,106.462,
1576656000,18/12/2019,106.563,
1576742400,19/12/2019,106.423,
1576828800,20/12/2019,106.171,
1577088000,23/12/2019,106.08,
1577174400,24/12/2019,106.128,
1577433600,27/12/2019,106.163,
1577692800,30/12/2019,106.16,
1577779200,31/12/2019,106.195,
1577952000,02/01/2020,106.201,
1578038400,03/01/2020,106.296,
1578297600,06/01/2020,106.387,
1578384000,07/01/2020,106.616,
1578470400,08/01/2020,106.567,
1578556800,09/01/2020,106.479,
1578643200,10/01/2020,106.716,
1578902400,13/01/2020,107.11,
1578988800,14/01/2020,107.023,
1579075200,15/01/2020,106.936,
1579161600,16/01/2020,107.232,
1579248000,17/01/2020,107.23,
1579507200,20/01/2020,107.289,
1579593600,21/01/2020,107.315,
1579680000,22/01/2020,107.303,
1579766400,23/01/2020,107.172,
1579852800,24/01/2020,107.169,
1580112000,27/01/2020,106.959,
1580198400,28/01/2020,107.227,
1580284800,29/01/2020,107.562,
1580371200,30/01/2020,108.26,
1580457600,31/01/2020,108.444,
1580716800,03/02/2020,108.547,
1580803200,04/02/2020,108.505,
1580889600,05/02/2020,108.425,
1580976000,06/02/2020,108.58,
1581062400,07/02/2020,108.812,
1581321600,10/02/2020,108.918,
1581408000,11/02/2020,109.07,
1581494400,12/02/2020,109.382,
1581580800,13/02/2020,109.594,
1581667200,14/02/2020,109.663,
1581926400,17/02/2020,110.857,
1582012800,18/02/2020,110.898,
1582099200,19/02/2020,110.994,
1582185600,20/02/2020,111.449,
1582272000,21/02/2020,111.336,
1582531200,24/02/2020,110.979,
1582617600,25/02/2020,111.154,
1582704000,26/02/2020,110.963,
1582790400,27/02/2020,110.321,
1582876800,28/02/2020,109.102,
1583136000,02/03/2020,109.112,
1583222400,03/03/2020,109.992,
1583308800,04/03/2020,112.05,
1583395200,05/03/2020,112.792,
1583481600,06/03/2020,112.402,
1583740800,09/03/2020,110.029,
1583827200,10/03/2020,110.384,
1583913600,11/03/2020,109.026,
1584086400,13/03/2020,101.634,
1584345600,16/03/2020,101.473,
1584432000,17/03/2020,100.652,
1584518400,18/03/2020,96.629997,
1584604800,19/03/2020,92.834,
1584691200,20/03/2020,95.762001,
1585036800,24/03/2020,96.579002,
1585123200,25/03/2020,98.759003,
1585209600,26/03/2020,103.855,
1585296000,27/03/2020,105.043,
1585551600,30/03/2020,102.886,
1585638000,31/03/2020,102.895,
1585724400,01/04/2020,103.188,
1585810800,02/04/2020,101.139,
1585897200,03/04/2020,100.279,
1586156400,06/04/2020,99.445999,
1586242800,07/04/2020,100.177,
1586329200,08/04/2020,100.344,
1586415600,09/04/2020,100.718,
1586847600,14/04/2020,103.779,
