ISIN,US105756CD06,,
Coupon,2.875,,
Maturity,5 Years,,
Start,2020,End,2025
,,,
time,date,close,
1688540400,05/07/2023,95.316002,
1688626800,06/07/2023,95.107002,
1688713200,07/07/2023,95.023003,
1688972400,10/07/2023,95.016998,
1689058800,11/07/2023,95.141998,
1689145200,12/07/2023,95.196999,
1689231600,13/07/2023,95.487,
1689318000,14/07/2023,95.577003,
1689577200,17/07/2023,95.494003,
1689663600,18/07/2023,95.554001,
1689750000,19/07/2023,95.609001,
1689836400,20/07/2023,95.589996,
1689922800,21/07/2023,95.487999,
1690182000,24/07/2023,95.501999,
1690268400,25/07/2023,95.400002,
1690354800,26/07/2023,95.414001,
1690441200,27/07/2023,95.481003,
1690527600,28/07/2023,95.413002,
1690786800,31/07/2023,95.442001,
1690873200,01/08/2023,95.438004,
1690959600,02/08/2023,95.362,
1691046000,03/08/2023,95.264,
1691132400,04/08/2023,95.188004,
1691391600,07/08/2023,95.306,
1691478000,08/08/2023,95.367996,
1691564400,09/08/2023,95.335999,
1691650800,10/08/2023,95.398003,
1691737200,11/08/2023,95.362,
1691996400,14/08/2023,95.325996,
1692082800,15/08/2023,95.181,
1692169200,16/08/2023,95.112999,
1692255600,17/08/2023,95.018997,
1692342000,18/08/2023,95.021004,
1692601200,21/08/2023,95.011002,
1692687600,22/08/2023,94.964996,
1692774000,23/08/2023,95.016998,
1692860400,24/08/2023,95.138,
1692946800,25/08/2023,95.135002,
1693206000,28/08/2023,95.183998,
1693292400,29/08/2023,95.231003,
1693378800,30/08/2023,95.425003,
1693465200,31/08/2023,95.436996,
1693551600,01/09/2023,95.445,
1693810800,04/09/2023,95.345001,
1693897200,05/09/2023,95.292999,
1693983600,06/09/2023,95.209,
1694070000,07/09/2023,95.105003,
1694156400,08/09/2023,95.151001,
1694415600,11/09/2023,95.135002,
1694502000,12/09/2023,95.218002,
1694588400,13/09/2023,95.213997,
1694674800,14/09/2023,95.227997,
1694761200,15/09/2023,95.306999,
1695020400,18/09/2023,95.139999,
1695106800,19/09/2023,95.230003,
1695193200,20/09/2023,95.058998,
1695279600,21/09/2023,95.075996,
1695366000,22/09/2023,95.102997,
1695625200,25/09/2023,95.105003,
1695711600,26/09/2023,95.116997,
1695798000,27/09/2023,95.108002,
1695884400,28/09/2023,95.010002,
1695970800,29/09/2023,95.175003,
1696230000,02/10/2023,95.064003,
1696316400,03/10/2023,94.933998,
1696402800,04/10/2023,94.787003,
1696489200,05/10/2023,94.963997,
1696575600,06/10/2023,95.056999,
1696834800,09/10/2023,94.902,
1696921200,10/10/2023,95.040001,
1697007600,11/10/2023,95.233002,
1697094000,12/10/2023,95.267998,
1697180400,13/10/2023,95.208,
1697439600,16/10/2023,95.203003,
1697526000,17/10/2023,95.124001,
1697612400,18/10/2023,95.039001,
1697698800,19/10/2023,95.004997,
1697785200,20/10/2023,95.025002,
1698044400,23/10/2023,95.019997,
1698130800,24/10/2023,95.120003,
1698217200,25/10/2023,95.182999,
1698303600,26/10/2023,95.221001,
1698390000,27/10/2023,95.185997,
1698652800,30/10/2023,95.219002,
1698739200,31/10/2023,95.237,
1698825600,01/11/2023,95.232002,
1698912000,02/11/2023,95.447998,
1698998400,03/11/2023,95.627998,
1699257600,06/11/2023,95.657997,
1699344000,07/11/2023,95.459999,
1699430400,08/11/2023,95.572998,
1699516800,09/11/2023,95.502998,
1699603200,10/11/2023,95.446999,
1699862400,13/11/2023,95.428001,
1699948800,14/11/2023,95.350998,
1700035200,15/11/2023,95.626999,
1700121600,16/11/2023,95.624001,
1700208000,17/11/2023,95.696999,
1700467200,20/11/2023,95.733002,
1700553600,21/11/2023,95.777,
1700640000,22/11/2023,95.848,
1700726400,23/11/2023,95.797997,
1700812800,24/11/2023,95.839996,
1701072000,27/11/2023,95.781998,
1701158400,28/11/2023,95.857002,
1701244800,29/11/2023,96.101997,
1701331200,30/11/2023,96.141998,
1701417600,01/12/2023,96.112999,
1701676800,04/12/2023,96.176003,
1701763200,05/12/2023,96.172997,
1701849600,06/12/2023,96.279999,
1701936000,07/12/2023,96.275002,
1702022400,08/12/2023,96.290001,
1702281600,11/12/2023,96.190002,
1702368000,12/12/2023,96.216003,
1702454400,13/12/2023,96.231003,
1702540800,14/12/2023,96.669998,
1702627200,15/12/2023,96.779999,
1702886400,18/12/2023,96.727997,
1702972800,19/12/2023,96.705002,
1703059200,20/12/2023,96.716003,
1703145600,21/12/2023,96.728996,
1703232000,22/12/2023,96.746002,
1703664000,27/12/2023,96.720001,
1703750400,28/12/2023,96.742996,
1703836800,29/12/2023,96.630997,
1704182400,02/01/2024,96.617996,
1704268800,03/01/2024,96.435997,
1704355200,04/01/2024,96.343002,
1704441600,05/01/2024,96.219002,
1704700800,08/01/2024,96.324997,
1704787200,09/01/2024,96.276001,
1704873600,10/01/2024,96.420998,
1704960000,11/01/2024,96.575996,
1705046400,12/01/2024,96.766998,
1705305600,15/01/2024,96.790001,
1705392000,16/01/2024,96.769997,
1705478400,17/01/2024,96.684998,
1705564800,18/01/2024,96.721001,
1705651200,19/01/2024,96.700996,
1705910400,22/01/2024,96.641998,
1705996800,23/01/2024,96.584,
1706083200,24/01/2024,96.565002,
1706169600,25/01/2024,96.559998,
1706256000,26/01/2024,96.635002,
1706515200,29/01/2024,96.650002,
1706601600,30/01/2024,96.731003,
1706688000,31/01/2024,96.742996,
1706774400,01/02/2024,96.815002,
1706860800,02/02/2024,96.93,
1707120000,05/02/2024,96.808998,
1707206400,06/02/2024,96.737999,
1707292800,07/02/2024,96.922997,
1707379200,08/02/2024,96.896004,
1707465600,09/02/2024,96.869003,
1707724800,12/02/2024,96.903,
1707811200,13/02/2024,96.802002,
1707897600,14/02/2024,96.693001,
1707984000,15/02/2024,96.746002,
1708070400,16/02/2024,96.737,
1708329600,19/02/2024,96.726997,
1708416000,20/02/2024,96.725998,
1708502400,21/02/2024,96.699997,
1708588800,22/02/2024,96.717003,
1708934400,26/02/2024,96.768997,
1709020800,27/02/2024,96.758003,
1709107200,28/02/2024,96.747,
