ISIN,US105756CC23,,
Coupon,3.875,,
Maturity,10 years,,
Start,2020,End,2030
,,,
time,date,close,
1686726000,14/06/2023,89.333,
1686812400,15/06/2023,89.363998,
1686898800,16/06/2023,89.585999,
1687158000,19/06/2023,89.487,
1687244400,20/06/2023,89.424004,
1687330800,21/06/2023,89.436996,
1687417200,22/06/2023,89.334999,
1687503600,23/06/2023,89.219002,
1687762800,26/06/2023,89.333,
1687849200,27/06/2023,89.307999,
1687935600,28/06/2023,89.283997,
1688022000,29/06/2023,89.223999,
1688108400,30/06/2023,88.734001,
1688367600,03/07/2023,88.891998,
1688454000,04/07/2023,88.926003,
1688540400,05/07/2023,88.917,
1688626800,06/07/2023,88.473999,
1688713200,07/07/2023,87.914001,
1688972400,10/07/2023,87.805,
1689058800,11/07/2023,88.035004,
1689145200,12/07/2023,88.384003,
1689231600,13/07/2023,89.182999,
1689318000,14/07/2023,89.740997,
1689577200,17/07/2023,89.555,
1689663600,18/07/2023,89.764,
1689750000,19/07/2023,89.964996,
1689836400,20/07/2023,89.862,
1689922800,21/07/2023,89.573997,
1690182000,24/07/2023,89.766998,
1690268400,25/07/2023,89.560997,
1690354800,26/07/2023,89.731003,
1690441200,27/07/2023,89.931,
1690527600,28/07/2023,89.620003,
1690786800,31/07/2023,89.737999,
1690873200,01/08/2023,89.688004,
1690959600,02/08/2023,89.43,
1691046000,03/08/2023,88.786003,
1691132400,04/08/2023,88.473,
1691391600,07/08/2023,88.771004,
1691478000,08/08/2023,88.918999,
1691564400,09/08/2023,88.844002,
1691650800,10/08/2023,88.984001,
1691737200,11/08/2023,88.894997,
1691996400,14/08/2023,88.764,
1692082800,15/08/2023,88.265999,
1692169200,16/08/2023,87.939003,
1692255600,17/08/2023,87.450996,
1692342000,18/08/2023,87.379997,
1692601200,21/08/2023,87.257004,
1692687600,22/08/2023,87.181999,
1692774000,23/08/2023,87.436996,
1692860400,24/08/2023,87.865997,
1692946800,25/08/2023,87.852997,
1693206000,28/08/2023,87.894997,
1693292400,29/08/2023,88.012001,
1693378800,30/08/2023,88.519997,
1693465200,31/08/2023,88.764,
1693551600,01/09/2023,88.727997,
1693810800,04/09/2023,88.515999,
1693897200,05/09/2023,88.331001,
1693983600,06/09/2023,88.103996,
1694070000,07/09/2023,87.889999,
1694156400,08/09/2023,88.047997,
1694415600,11/09/2023,88.134003,
1694502000,12/09/2023,88.060997,
1694588400,13/09/2023,87.990997,
1694674800,14/09/2023,88.315002,
1694761200,15/09/2023,88.303001,
1695020400,18/09/2023,88.133003,
1695106800,19/09/2023,88.123001,
1695193200,20/09/2023,88.046997,
1695279600,21/09/2023,87.630997,
1695366000,22/09/2023,87.318001,
1695625200,25/09/2023,87.366997,
1695711600,26/09/2023,87.356003,
1695798000,27/09/2023,87.223,
1695884400,28/09/2023,86.908997,
1695970800,29/09/2023,87.310997,
1696230000,02/10/2023,86.992996,
1696316400,03/10/2023,86.575996,
1696402800,04/10/2023,85.964996,
1696489200,05/10/2023,86.170998,
1696575600,06/10/2023,86.139,
1696834800,09/10/2023,85.938004,
1696921200,10/10/2023,86.288002,
1697007600,11/10/2023,87.279999,
1697094000,12/10/2023,87.474998,
1697180400,13/10/2023,87.068001,
1697439600,16/10/2023,86.982002,
1697526000,17/10/2023,86.651001,
1697612400,18/10/2023,86.230003,
1697698800,19/10/2023,85.684998,
1697785200,20/10/2023,85.603996,
1698044400,23/10/2023,85.468002,
1698130800,24/10/2023,86.171997,
1698217200,25/10/2023,86.404999,
1698303600,26/10/2023,85.919998,
1698390000,27/10/2023,86.162003,
1698652800,30/10/2023,86.081001,
1698739200,31/10/2023,86.163002,
1698825600,01/11/2023,86.211998,
1698912000,02/11/2023,87.112,
1698998400,03/11/2023,87.874001,
1699257600,06/11/2023,87.991997,
1699344000,07/11/2023,87.476997,
1699430400,08/11/2023,87.473,
1699516800,09/11/2023,87.487,
1699603200,10/11/2023,87.249001,
1699862400,13/11/2023,87.209999,
1699948800,14/11/2023,86.920998,
1700035200,15/11/2023,87.791,
1700121600,16/11/2023,87.815002,
1700208000,17/11/2023,88.070999,
1700467200,20/11/2023,87.949997,
1700553600,21/11/2023,88.360001,
1700640000,22/11/2023,88.511002,
1700726400,23/11/2023,88.553001,
1700812800,24/11/2023,88.435997,
1701072000,27/11/2023,88.444,
1701158400,28/11/2023,88.789001,
1701244800,29/11/2023,89.355003,
1701331200,30/11/2023,89.596001,
1701417600,01/12/2023,89.333,
1701676800,04/12/2023,89.800003,
1701763200,05/12/2023,89.582001,
1701849600,06/12/2023,89.879997,
1701936000,07/12/2023,89.959999,
1702022400,08/12/2023,89.891998,
1702281600,11/12/2023,89.464996,
1702368000,12/12/2023,89.612999,
1702454400,13/12/2023,89.655998,
1702540800,14/12/2023,91.153,
1702627200,15/12/2023,91.862,
1702886400,18/12/2023,91.842003,
1702972800,19/12/2023,91.75,
1703059200,20/12/2023,91.703003,
1703145600,21/12/2023,91.800003,
1703232000,22/12/2023,91.732002,
1703664000,27/12/2023,91.681,
1703750400,28/12/2023,91.760002,
1703836800,29/12/2023,91.476997,
1704182400,02/01/2024,91.244003,
1704268800,03/01/2024,90.691002,
1704355200,04/01/2024,90.414001,
1704441600,05/01/2024,90.249001,
1704700800,08/01/2024,90.355003,
1704787200,09/01/2024,90.445999,
1704873600,10/01/2024,90.776001,
1704960000,11/01/2024,91.109001,
1705046400,12/01/2024,91.449997,
1705305600,15/01/2024,91.690002,
1705392000,16/01/2024,91.483002,
1705478400,17/01/2024,91.206001,
1705564800,18/01/2024,91.103996,
1705651200,19/01/2024,90.886002,
1705910400,22/01/2024,90.661003,
1705996800,23/01/2024,90.008003,
1706083200,24/01/2024,90.014,
1706169600,25/01/2024,89.870003,
1706256000,26/01/2024,90.160004,
1706515200,29/01/2024,90.239998,
1706601600,30/01/2024,90.518997,
1706688000,31/01/2024,90.601997,
1706774400,01/02/2024,90.760002,
1706860800,02/02/2024,91.350998,
1707120000,05/02/2024,90.637001,
1707206400,06/02/2024,90.346001,
1707292800,07/02/2024,90.929001,
1707379200,08/02/2024,90.875,
1707465600,09/02/2024,90.707001,
1707724800,12/02/2024,90.706001,
1707811200,13/02/2024,90.318001,
1707897600,14/02/2024,90.059998,
1707984000,15/02/2024,90.218002,
1708070400,16/02/2024,90.242996,
1708329600,19/02/2024,90.107002,
1708416000,20/02/2024,90.091003,
1708502400,21/02/2024,90.004997,
1708588800,22/02/2024,89.848999,
1708934400,26/02/2024,90.096001,
1709020800,27/02/2024,89.910004,
1709107200,28/02/2024,89.771,
