ISIN,US105756CC23,,
Coupon,3.875,,
Maturity,10 years,,
Start,2020,End,2030
,,,
time,date,close,
1611561600,25/01/2021,102.46,
1611648000,26/01/2021,102.753,
1611734400,27/01/2021,102.437,
1611820800,28/01/2021,102.898,
1611907200,29/01/2021,103.06,
1612166400,01/02/2021,103.062,
1612252800,02/02/2021,103.694,
1612339200,03/02/2021,103.961,
1612425600,04/02/2021,103.762,
1612512000,05/02/2021,104.196,
1612771200,08/02/2021,103.731,
1612857600,09/02/2021,103.989,
1612944000,10/02/2021,103.672,
1613030400,11/02/2021,103.74,
1613116800,12/02/2021,103.732,
1613376000,15/02/2021,103.694,
1613462400,16/02/2021,103.498,
1613548800,17/02/2021,102.735,
1613635200,18/02/2021,102.977,
1613721600,19/02/2021,102.794,
1613980800,22/02/2021,100.526,
1614067200,23/02/2021,100.463,
1614153600,24/02/2021,101.361,
1614240000,25/02/2021,101.133,
1614326400,26/02/2021,99.987,
1614585600,01/03/2021,99.959,
1614672000,02/03/2021,99.538002,
1614758400,03/03/2021,99.178001,
1614844800,04/03/2021,99.099998,
1614931200,05/03/2021,98.495003,
1615190400,08/03/2021,97.851997,
1615276800,09/03/2021,96.375999,
1615363200,10/03/2021,96.433998,
1615449600,11/03/2021,98.18,
1615536000,12/03/2021,98.123001,
1615795200,15/03/2021,97.733002,
1615881600,16/03/2021,98.503998,
1615968000,17/03/2021,98.331001,
1616054400,18/03/2021,98.029999,
1616140800,19/03/2021,98.041,
1616400000,22/03/2021,98.161003,
1616486400,23/03/2021,98.405998,
1616572800,24/03/2021,98.169998,
1616659200,25/03/2021,97.539001,
1616745600,26/03/2021,97.512001,
1617001200,29/03/2021,97.310997,
1617087600,30/03/2021,96.734001,
1617174000,31/03/2021,96.780998,
1617260400,01/04/2021,97.606003,
1617692400,06/04/2021,97.396004,
1617778800,07/04/2021,97.912003,
1617865200,08/04/2021,97.806,
1617951600,09/04/2021,97.904999,
1618210800,12/04/2021,97.764,
1618297200,13/04/2021,97.310997,
1618383600,14/04/2021,97.732002,
1618470000,15/04/2021,97.910004,
1618556400,16/04/2021,98.719002,
1618815600,19/04/2021,98.999001,
1618902000,20/04/2021,99.184998,
1618988400,21/04/2021,99.093002,
1619074800,22/04/2021,99.164001,
1619161200,23/04/2021,99.377998,
1619420400,26/04/2021,99.356003,
1619506800,27/04/2021,99.477997,
1619593200,28/04/2021,99.085999,
1619679600,29/04/2021,99.244003,
1619766000,30/04/2021,99.197998,
1620025200,03/05/2021,99.319,
1620111600,04/05/2021,99.452003,
1620198000,05/05/2021,99.675003,
1620284400,06/05/2021,100.03,
1620370800,07/05/2021,100.94,
1620630000,10/05/2021,101.275,
1620716400,11/05/2021,101.422,
1620802800,12/05/2021,101.084,
1620889200,13/05/2021,100.291,
1620975600,14/05/2021,100.738,
1621234800,17/05/2021,100.745,
1621321200,18/05/2021,100.591,
1621407600,19/05/2021,100.406,
1621494000,20/05/2021,100.114,
1621580400,21/05/2021,100.346,
1621839600,24/05/2021,100.381,
1621926000,25/05/2021,100.403,
1622012400,26/05/2021,100.679,
1622098800,27/05/2021,101.046,
1622185200,28/05/2021,100.973,
1622444400,31/05/2021,101.162,
1622530800,01/06/2021,101.186,
1622617200,02/06/2021,101.456,
1622703600,03/06/2021,101.852,
1622790000,04/06/2021,101.194,
1623049200,07/06/2021,101.589,
1623135600,08/06/2021,101.746,
1623222000,09/06/2021,101.82,
1623308400,10/06/2021,101.851,
1623394800,11/06/2021,102.328,
1623654000,14/06/2021,102.122,
1623740400,15/06/2021,101.667,
1623826800,16/06/2021,101.484,
1623913200,17/06/2021,101.131,
1623999600,18/06/2021,101.615,
1624258800,21/06/2021,101.54,
1624345200,22/06/2021,101.465,
1624431600,23/06/2021,101.398,
1624518000,24/06/2021,101.554,
1624604400,25/06/2021,101.612,
1624863600,28/06/2021,101.525,
1624950000,29/06/2021,101.204,
1625036400,30/06/2021,101.462,
1625122800,01/07/2021,101.044,
1625209200,02/07/2021,100.778,
1625554800,06/07/2021,100.901,
1625641200,07/07/2021,101.013,
1625727600,08/07/2021,100.892,
1625814000,09/07/2021,100.629,
1626073200,12/07/2021,100.788,
1626159600,13/07/2021,100.779,
1626246000,14/07/2021,100.52,
1626332400,15/07/2021,100.826,
1626418800,16/07/2021,100.815,
1626678000,19/07/2021,100.783,
1626764400,20/07/2021,100.812,
1626850800,21/07/2021,100.771,
1626937200,22/07/2021,100.575,
1627023600,23/07/2021,100.735,
1627282800,26/07/2021,100.965,
1627369200,27/07/2021,100.926,
1627455600,28/07/2021,100.504,
1627542000,29/07/2021,100.713,
1627628400,30/07/2021,100.875,
1627887600,02/08/2021,101.134,
1627974000,03/08/2021,101.198,
1628060400,04/08/2021,101.108,
1628146800,05/08/2021,101.114,
1628233200,06/08/2021,100.634,
1628492400,09/08/2021,100.352,
1628578800,10/08/2021,100.081,
1628665200,11/08/2021,99.920998,
1628751600,12/08/2021,100.09,
1628838000,13/08/2021,100.164,
1629097200,16/08/2021,100.322,
1629183600,17/08/2021,100.313,
1629270000,18/08/2021,100.109,
1629356400,19/08/2021,99.445,
1629442800,20/08/2021,99.640999,
1629702000,23/08/2021,99.533997,
1629788400,24/08/2021,99.890999,
1629874800,25/08/2021,99.936996,
1629961200,26/08/2021,99.869003,
1630047600,27/08/2021,99.988998,
1630306800,30/08/2021,100.351,
1630393200,31/08/2021,100.712,
1630479600,01/09/2021,100.442,
1630566000,02/09/2021,100.633,
1630652400,03/09/2021,100.733,
1630911600,06/09/2021,100.644,
1630998000,07/09/2021,100.505,
1631084400,08/09/2021,100.25,
1631170800,09/09/2021,99.885002,
1631257200,10/09/2021,100.07,
1631516400,13/09/2021,100.201,
1631602800,14/09/2021,99.988998,
1631689200,15/09/2021,100.159,
1631775600,16/09/2021,100.021,
1631862000,17/09/2021,99.898003,
1632121200,20/09/2021,99.675003,
1632207600,21/09/2021,99.287003,
1632294000,22/09/2021,99.516998,
1632380400,23/09/2021,99.391998,
1632466800,24/09/2021,98.862999,
1632812400,28/09/2021,97.787003,
1632898800,29/09/2021,97.345001,
1632985200,30/09/2021,97.377998,
1633071600,01/10/2021,97.053001,
1633330800,04/10/2021,96.894997,
1633417200,05/10/2021,96.648003,
1633503600,06/10/2021,96.412003,
1633590000,07/10/2021,96.869003,
1633676400,08/10/2021,96.797997,
1633935600,11/10/2021,96.581001,
